user_id,created_at,assigned_at,slug,role,is_tutor,grade,gender,score,coursebookmark,institution_id
3f2464ce24df9e5e3f7df227aea411b5,1529292116,,challenge-beginners-2018,STUDENT,false,7,F,0,true,59bc1e61f0353ee2e87647ceda3e9768
3a3941985aa58cd20b2ec38cddcf01e5,1535429753,1535429753,challenge-beginners-2018,PROFESSIONAL,true,,,0,false,d8ada80be429ecebca5340c31efcf718
d4e515deddd650591b0e9a729fcd08ac,1533513298,,challenge-beginners-2018,STUDENT,false,11,,190,false,e1de43293d8bb9726f00ee2f1ce8bce3
f3f688d53d9995b4cee250348677431b,1529358771,,challenge-beginners-2018,STUDENT,false,7,F,0,true,c55e2534bcdae7a4bf4c64b9a7a93a25
8a3c2b039ebf6fde09f598b75a31d73f,1533517799,,challenge-beginners-2018,STUDENT,false,7,M,120,false,3e8fac6ee60765f7281c161a6d185838
a8b74b191537921bb0c85f17405b0f54,1529358771,,challenge-beginners-2018,STUDENT,false,7,F,0,true,c55e2534bcdae7a4bf4c64b9a7a93a25
88f436b64f0ce8cc0a1075a0e3236371,1529358771,,challenge-beginners-2018,STUDENT,false,7,M,0,true,c55e2534bcdae7a4bf4c64b9a7a93a25
4330fc108a6999f6b1c7166280499422,1529358771,,challenge-beginners-2018,STUDENT,false,7,M,0,true,c55e2534bcdae7a4bf4c64b9a7a93a25
853393e4157d841027c0b6fc09db672c,1529358771,,challenge-beginners-2018,STUDENT,false,7,M,0,true,c55e2534bcdae7a4bf4c64b9a7a93a25
f250556a4882ded5011bba74ae329900,1529358771,,challenge-beginners-2018,STUDENT,false,7,F,0,true,c55e2534bcdae7a4bf4c64b9a7a93a25
29c2ecd1ba1d3e08759ca541a2c9ccb0,1529359661,1529359661,challenge-beginners-2018,STUDENT,false,9,F,270,false,6d7eb70a0277ea5288eb0fa8dc059f03
e444b2a5bf9d41fc53180e232bb63689,1529361754,,challenge-beginners-2018,TEACHER,false,,,400,false,99b31f363ba36dc4641c5c85ec59b8ae
9293aed2aeb4704ae44ff33234e05c19,1533518504,,challenge-beginners-2018,TEACHER,false,,,10,false,1de0067f8ef756490d9c95057de1cdf3
89d3146b55f0d7d47d6d062ca03bad4b,1533518979,,challenge-beginners-2018,STUDENT,false,10,M,320,false,a45f19342e7a9a22ed356cff5b8cff56
a0d48a49b9427ae3cd93a07e891ccdca,1533527373,,challenge-beginners-2018,STUDENT,false,9,F,129,false,eddc3388e4d0c5a9f0288e4ceaef47eb
517ea84a9072c228c05c6a0385481e55,1533523322,,challenge-beginners-2018,STUDENT,false,9,F,130,false,2ef8148ac4110ec18eb29d6f0b6880e4
c4c814b0cf9adb09a937dc04a6e0a558,1532908689,,challenge-beginners-2018,STUDENT,false,8,M,348,false,226935b15e9c99fb2bb64f112ccbc012
04ee64caf2b3d0e44bbf3460e5053c78,1533520122,,challenge-beginners-2018,TEACHER,false,,M,0,false,a45f19342e7a9a22ed356cff5b8cff56
cf2909c36dc0cc62d5e0be3d49f6dbe8,1533523499,1533523499,challenge-beginners-2018,STUDENT,false,10,M,410,false,408061236b1e79c06da9b4d27e8b8689
b3b398a5fc2c19d5fd8c345f67592306,1533525481,,challenge-beginners-2018,STUDENT,false,6,M,0,false,e1de43293d8bb9726f00ee2f1ce8bce3
71ea30fb407c19e30fbb3932a926bbf8,1535587858,,challenge-beginners-2018,STUDENT,false,10,M,0,false,01bb850b54a6e7c6a0fcb18cb45b24ed
260a34e09605160abe16fbf6d73b6ae2,1529373441,1529373441,challenge-beginners-2018,STUDENT,false,9,F,409,false,ec4220a7bc4962d8e3b70f24e355a0d7
886571874a5fba9c24dcf85e247d8a92,1533526901,,challenge-beginners-2018,STUDENT,false,9,M,200,false,cefc342d6ba6e3ddc2a0620b37edd7b3
cf28b354a0c401cde273077fef982101,1529372286,,challenge-beginners-2018,STUDENT,false,7,M,310,false,d9019cc099c069649cf93e0fce1e925a
5fae00ebb452b08a1882b5b3b5c01fef,1533522037,,challenge-beginners-2018,STUDENT,false,10,M,400,false,273422c4a8d8c4e6d85f9a225276ced3
2ffd48d5b59056c447cdafee90d96890,1533523857,,challenge-beginners-2018,STUDENT,false,10,M,180,false,7126037f72bc540ed130d3e3bd726548
a95508fb3054063c419a5a813ec1d109,1533527452,,challenge-beginners-2018,STUDENT,false,6,F,0,false,62c8937fc3d5d4ea3462070f15c784e8
3a6464a75a6924096842fa2101959ba0,1533528206,,challenge-beginners-2018,TEACHER,false,,,138,false,a88b0a07a9c6a013c4972d26d7b51fd2
2d42494b9e53ba66fd70eca6e94ec749,1529374592,1529374601,challenge-beginners-2018,STUDENT,false,6,F,180,false,152f19b125f90ab37892c4354dc1cdcb
01395fdf6aa29f33b5492c4be9d6bef5,1529374592,1529374601,challenge-beginners-2018,STUDENT,false,6,M,408,false,152f19b125f90ab37892c4354dc1cdcb
bbe147a861b6ecfed3a3ecd196a9c0cd,1529374592,1529374601,challenge-beginners-2018,STUDENT,false,6,F,300,false,152f19b125f90ab37892c4354dc1cdcb
d03d7384d8e4d736872457e020b7fe95,1533528520,1533528520,challenge-beginners-2018,STUDENT,false,9,F,30,false,cefc342d6ba6e3ddc2a0620b37edd7b3
76049c15d43f6fe74e97cf33e9d2c1de,1529374592,1529374601,challenge-beginners-2018,STUDENT,false,6,M,290,false,152f19b125f90ab37892c4354dc1cdcb
56b205b3f8c8a3e1dbf2f6a7d8ecfc28,1529374679,1529375647,challenge-beginners-2018,STUDENT,false,11,M,0,true,1d5ae4fbd41ea0d23e55a7040e0926f1
dcd3fe901fed6c66887a48029519e601,1528372387,1528372387,challenge-beginners-2018,STUDENT,false,9,F,209,false,3e8fac6ee60765f7281c161a6d185838
7e704318840fa5e7a2d523549b127261,1529375591,1529375647,challenge-beginners-2018,STUDENT,false,11,M,0,true,1d5ae4fbd41ea0d23e55a7040e0926f1
d2061ed234fd4bc85f625faffd8bce59,1533528997,,challenge-beginners-2018,STUDENT,false,10,M,409,false,815e0542582488f682ebf1017d6118d3
f7dd25e1963132ac8502e4f156b5c073,1533529021,,challenge-beginners-2018,STUDENT,false,11,M,407,false,1260f0123bfa6750528783ecac197cb7
1981e7655a99cdad6dd98e98f6b51cb3,1527724851,1532470062,challenge-beginners-2018,STUDENT,false,9,M,0,true,bf6df540f69084c7408a39b4dfdf55e3
6410148c8e4576bcbe63d52283a13428,1527724851,1532470062,challenge-beginners-2018,STUDENT,false,9,M,210,false,bf6df540f69084c7408a39b4dfdf55e3
9695d4fbcbdbc5d7aca6db5a8aa8e4b7,1527724851,1532470062,challenge-beginners-2018,STUDENT,false,9,M,90,false,bf6df540f69084c7408a39b4dfdf55e3
685ff050e95e8485ccd5bed330eccab9,1527724851,1532470062,challenge-beginners-2018,STUDENT,false,9,F,0,true,bf6df540f69084c7408a39b4dfdf55e3
6063d69b27c565a7a17e38866dff08dd,1533529091,,challenge-beginners-2018,STUDENT,false,9,M,20,false,2a7ae0d59f176ee88f718c15a5e53cb4
8c2fd5c289482f5159eb8bdc5091abb3,1533612592,,challenge-beginners-2018,STUDENT,false,5,M,130,false,3e8fac6ee60765f7281c161a6d185838
3efb1d24f3a57fd8803a6cd7e2948dfd,1533612997,,challenge-beginners-2018,STUDENT,false,6,M,40,false,3e8fac6ee60765f7281c161a6d185838
