user_id,id,created_at,content,was_student,already_passed,post_type
65f59a3a9e7f38f1d65f277d533502ce,249483,1533724154,Thank you!,TRUE,TRUE,MESSAGE
65f59a3a9e7f38f1d65f277d533502ce,249479,1533723993,It seems like it might be trying to draw both at once - let's look at your `if` statements. What's the name of the variable where you store the `input`?,FALSE,FALSE,MESSAGE
65f59a3a9e7f38f1d65f277d533502ce,249472,1533723722,It still doesn't seem to work properly when I copy what I did for the left triangle for the right one.,TRUE,FALSE,MESSAGE
65f59a3a9e7f38f1d65f277d533502ce,249466,1533723347,"Okay, so when the triangle is pointing left, we turn 120 degrees left. When it's pointing right, we can turn right instead.

Does this help? Let us know if you have any more questions! :)",FALSE,FALSE,MESSAGE
65f59a3a9e7f38f1d65f277d533502ce,249464,1533723172,"I'm having trouble with coding the last part. I know how to code the turtle when it goes left, but not when it goes right.",TRUE,FALSE,MESSAGE
65f59a3a9e7f38f1d65f277d533502ce,249462,1533723040,"Hi Charlotte,

Are you not sure how to draw that triangle, or are you having trouble checking the input?",FALSE,FALSE,MESSAGE
65f59a3a9e7f38f1d65f277d533502ce,249451,1533722381,I'm confused as to how the turtle is meant to do the right triangle.,TRUE,FALSE,MESSAGE
48aea6e3c209090f2eb51ff0dfabdad3,260286,1534568907,Hi GPN Perth! :),FALSE,FALSE,MESSAGE
48aea6e3c209090f2eb51ff0dfabdad3,260283,1534568865,PS Say hi to GPN Perth - we're doing a demo of the tutoring! :),TRUE,FALSE,MESSAGE
48aea6e3c209090f2eb51ff0dfabdad3,260282,1534568842,"Hi there!

I'm stuck on this question. I've tried ..... and I think the angle is wrong. Could I get some help please!",TRUE,FALSE,MESSAGE
64c99a98fdf1a8b73b6eb7d8f6052e8c,248816,1533699445,ok thank you :),TRUE,TRUE,MESSAGE
64c99a98fdf1a8b73b6eb7d8f6052e8c,248815,1533699425,"Don't be sorry for asking questions! :)

Feel free to message again if you have any more questions. :)",FALSE,TRUE,MESSAGE
64c99a98fdf1a8b73b6eb7d8f6052e8c,248811,1533699357,ahahah sorry!,TRUE,TRUE,MESSAGE
64c99a98fdf1a8b73b6eb7d8f6052e8c,248809,1533699348,Nice work! you solved it before I could reply! :),FALSE,TRUE,MESSAGE
64c99a98fdf1a8b73b6eb7d8f6052e8c,248808,1533699329,"Oh sorry!
Nevermind :)",TRUE,FALSE,MESSAGE
64c99a98fdf1a8b73b6eb7d8f6052e8c,248807,1533699240,"Hi!

Sorry, but I don't understand where I am going wrong...",TRUE,FALSE,MESSAGE
9066524bfe390b813b96b42fadc8d7b5,245949,1533535458,Looks like you got it. Great work!,FALSE,TRUE,MESSAGE
9066524bfe390b813b96b42fadc8d7b5,245897,1533534055,"Hi Jay,

The drawing for when it is right doesn't quite look ok. Have a read again of the notes in this question. It says:
- The turtle should draw up the page as the first step, by turning left by 90 degrees
- The turtle should turn left or right by 120 degrees for either the left arrow or right arrow

These two steps are the same for whether the turtle turns left or right.  See if that helps you get a bit closer to the solution. 

Sujatha",FALSE,FALSE,MESSAGE
9066524bfe390b813b96b42fadc8d7b5,245878,1533533532,The angle doesn't look correct?,TRUE,FALSE,MESSAGE
77a2ee90f0983f3bdbb1f7f8ab315026,253231,1534135316,"Oh I see you got there without my help! Great work, Liam! :D",FALSE,TRUE,MESSAGE
77a2ee90f0983f3bdbb1f7f8ab315026,253230,1534135314,thanks,TRUE,TRUE,MESSAGE
77a2ee90f0983f3bdbb1f7f8ab315026,253228,1534135299,"I see you're checking if `direction == left`. This isn't going to work since `left` is not a string. But `'left'` is! Try changing that line to 
```
if direction == 'left':
```
:)",FALSE,TRUE,MESSAGE
77a2ee90f0983f3bdbb1f7f8ab315026,253224,1534135209,"Hi, Liam!",FALSE,FALSE,MESSAGE
77a2ee90f0983f3bdbb1f7f8ab315026,253219,1534134856,Can you help me with this challenge?,TRUE,FALSE,MESSAGE
a84dcfd1763f42e873746789bcf98e26,248803,1533699017,"Yes, good programmers always look for better ways of doing things. 

Think about what is different between the ""left"" and ""right"" solutions. 

Could you use a variable set to a different value for ""left' and ""right""? 

I suggest you make sure you pass this problem before you experiment.

Peter.",FALSE,FALSE,MESSAGE
a84dcfd1763f42e873746789bcf98e26,248793,1533698719,fyi current solution passes the marker.,FALSE,FALSE,TUTOR_NOTE
a84dcfd1763f42e873746789bcf98e26,248784,1533698534,this works by the looks of it but is there another way of doing it? or easier way?,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261476,1534673365,"(Also, to see if it's right, I recommend running your program and seeing how it responds.)

Ok, so to check if the value is equal, we need to do the comparison like we did before (you also did comparison in *Over and Out*).",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261473,1534673291,no,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261472,1534673265,I see you've gone back to `if variable1 :` - will this line compare anything?,FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261469,1534673215,Is that right?,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261466,1534673135,"For example, you used `input` in [*Over and Out*](https://groklearning.com/view-submissions/39803989/challenge-beginners-2018/w2p1/16/) - could you do the same thing here?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261462,1534673059,"So this line asks the user for input, but you haven't stored the result in a variable, so you can't use anywhere - perhaps you forgot to store it?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261456,1534673000,input?,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261451,1534672959,"I see you have this line:

```py3
input(""Which way? "")
```
Does this hold a value you could use?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261449,1534672911,Do we use an else?,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261447,1534672885,I dont want to seem stupid but I really dont know,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261439,1534672752,"Oh, I see you just updated your code with `variable1 = 'left'`, so now when you check `if variable1 == ""left"":`, both will always be the same value, and it will always be `True` (similar to your problem before).

How do we know if we should draw left or right, what value should we check?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261430,1534672625,I dont know,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261428,1534672608,"Okay, where do you set `variable1` equal to that triangle?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261415,1534672402,the left triangle,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261411,1534672326,"You're nearly there! :)

What does `variable1` hold?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261408,1534672262,can i do that,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261397,1534672094,"Ok, so to compare a value, here's the example from before:

```py3
if <something> <condition> <some other thing>:
# For example
if 3 > mynumber:
# Also
if name != ""Bella"":
```

Here's the [list of comparisons](https://groklearning.com/learn/challenge-beginners-2018/w2p1/9/).

Could you change your `if`s to compare a value? Do you have the input stored somewhere for comparison?",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261385,1534671902,so how do i change it,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261378,1534671743,"I see you have `if variable1 :` - this won't compare any value (as I described above). This will just check if `variable1` converts to `True` or `False`  - since it's not empty, it converts to `True` so it's always going to draw left (and right, since `variable2` will also convert to `True`).",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261372,1534671644,I have done most of it but its not accepting the option,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261371,1534671639,"Ok, but you have to compare *something* with `""left""` (or `variable1` which is set to `""left""`).

An `if` comparison takes the following form:

```py3
if <something> <condition> <some other thing>:
# For example
if 3 > mynumber:
# Also
if name != ""Bella"":
```",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261347,1534671275,if its left?,TRUE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261341,1534671169,"Ok, I think you're seeing an error with this line?

```py3
if = 1 :
```

What value are you checking if it equals to 1? (Python requires you to check something, that's why it's a `SyntaxError`.) Also, remember to use the correct number of equals signs.

(Also: you can't have a variable name starting with a number, e.g. `1` or `1variable` because Python sees the `1` as a number.)",FALSE,FALSE,MESSAGE
5fda6a83a24729290435b3081bb2681a,261327,1534670939,Theres another error,TRUE,FALSE,MESSAGE
